DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people,,Notes: 
Lakes,European or Other,90+,Male,185,171,212,873,807,,
Lakes,Maori,12-15,Female,448,34,"1,532",292,22,,
Lakes,Maori,12-15,Male,489,53,"1,625",301,33,,
Lakes,Maori,16-19,Female,370,100,"1,307",283,77,,
Lakes,Maori,16-19,Male,389,96,"1,403",277,68,,
Lakes,Maori,20-24,Female,381,141,"1,591",239,89,,
Lakes,Maori,20-24,Male,326,104,"1,449",225,72,,
Lakes,Maori,25-29,Female,346,167,"1,539",225,109,,
Lakes,Maori,25-29,Male,311,120,"1,398",222,86,,
Lakes,Maori,30-34,Female,472,194,"1,514",312,128,,
Lakes,Maori,30-34,Male,357,130,"1,251",285,104,,
Lakes,Maori,35-39,Female,486,205,"1,197",406,171,,
Lakes,Maori,35-39,Male,358,130,"1,029",348,126,,
Lakes,Maori,40-44,Female,581,237,"1,139",510,208,,
Lakes,Maori,40-44,Male,436,172,955,457,180,,
Lakes,Maori,45-49,Female,674,360,"1,224",551,294,,
Lakes,Maori,45-49,Male,512,224,"1,055",485,212,,
Lakes,Maori,50-54,Female,763,446,"1,177",648,379,,
Lakes,Maori,50-54,Male,561,289,967,580,299,,
Lakes,Maori,55-59,Female,769,536,"1,178",653,455,,
Lakes,Maori,55-59,Male,635,412,937,678,440,,
Lakes,Maori,60-64,Female,776,609,970,800,628,,
Lakes,Maori,60-64,Male,642,489,812,791,602,,
Lakes,Maori,65-69,Female,535,469,656,816,715,,
Lakes,Maori,65-69,Male,431,382,511,843,748,,
Lakes,Maori,70-74,Female,396,350,444,892,788,,
Lakes,Maori,70-74,Male,331,293,337,982,869,,
Lakes,Maori,75-79,Female,231,216,272,849,794,,
Lakes,Maori,75-79,Male,165,149,185,892,805,,
Lakes,Maori,80-84,Female,142,125,165,861,758,,
Lakes,Maori,80-84,Male,98,91,107,916,850,,
Lakes,Maori,85-89,Female,56,45,66,848,682,,
Lakes,Maori,85-89,Male,36,33,47,766,702,,
Lakes,Maori,90+,Female,25,23,33,758,697,,
Lakes,Maori,90+,Male,13,12,10,"1,300","1,200",,
Lakes,Pacific Peoples,12-15,Female,47,5,88,534,57,,
Lakes,Pacific Peoples,12-15,Male,34,0,86,395,47,,
Lakes,Pacific Peoples,16-19,Female,29,10,81,358,123,,
Lakes,Pacific Peoples,16-19,Male,49,17,89,551,191,,
Lakes,Pacific Peoples,20-24,Female,42,23,97,433,237,,
Lakes,Pacific Peoples,20-24,Male,41,16,99,414,162,,
Lakes,Pacific Peoples,25-29,Female,48,33,118,407,280,,
Lakes,Pacific Peoples,25-29,Male,47,19,133,353,143,,
Lakes,Pacific Peoples,30-34,Female,61,35,110,555,318,,
Lakes,Pacific Peoples,30-34,Male,71,32,131,542,244,,
Lakes,Pacific Peoples,35-39,Female,67,38,93,720,409,,
Lakes,Pacific Peoples,35-39,Male,69,38,121,570,314,,
Lakes,Pacific Peoples,40-44,Female,70,35,103,680,340,,
Lakes,Pacific Peoples,40-44,Male,62,33,101,614,327,,
Lakes,Pacific Peoples,45-49,Female,62,47,90,689,522,,
Lakes,Pacific Peoples,45-49,Male,69,31,93,742,333,,
Lakes,Pacific Peoples,50-54,Female,57,41,85,671,482,,
Lakes,Pacific Peoples,50-54,Male,60,38,90,667,422,,
Lakes,Pacific Peoples,55-59,Female,62,46,76,816,605,,
Lakes,Pacific Peoples,55-59,Male,54,31,70,771,443,,
Lakes,Pacific Peoples,60-64,Female,46,37,66,697,561,,
Lakes,Pacific Peoples,60-64,Male,52,41,66,788,621,,
Lakes,Pacific Peoples,65-69,Female,34,28,38,895,737,,
Lakes,Pacific Peoples,65-69,Male,51,46,46,"1,109","1,000",,
Lakes,Pacific Peoples,70-74,Female,23,21,22,"1,045",955,,
Lakes,Pacific Peoples,70-74,Male,27,22,23,"1,174",957,,
Lakes,Pacific Peoples,75-79,Female,12,11,18,667,611,,
Lakes,Pacific Peoples,75-79,Male,8,7,16,500,438,,
Lakes,Pacific Peoples,80-84,Female,9,7,14,643,500,,
Lakes,Pacific Peoples,80-84,Male,10,9,7,"1,429","1,286",,
Lakes,Pacific Peoples,85-89,Male,5,0,5,"1,000",600,,
Lakes,Unknown,20-24,Female,14,8,9,"1,556",889,,
Lakes,Unknown,20-24,Male,12,0,8,"1,500",500,,
Lakes,Unknown,25-29,Female,17,9,23,739,391,,
Lakes,Unknown,25-29,Male,17,6,16,"1,062",375,,
Lakes,Unknown,30-34,Female,22,12,31,710,387,,
Lakes,Unknown,30-34,Male,27,9,40,675,225,,
Lakes,Unknown,35-39,Female,28,10,30,933,333,,
Lakes,Unknown,35-39,Male,25,9,29,862,310,,
Lakes,Unknown,40-44,Female,26,9,30,867,300,,
Lakes,Unknown,40-44,Male,30,11,38,789,289,,
Lakes,Unknown,45-49,Female,16,7,9,"1,778",778,,
Lakes,Unknown,45-49,Male,44,18,46,957,391,,
Lakes,Unknown,50-54,Female,13,7,12,"1,083",583,,
Lakes,Unknown,50-54,Male,42,22,49,857,449,,
Lakes,Unknown,55-59,Female,13,9,12,"1,083",750,,
Lakes,Unknown,55-59,Male,46,30,43,"1,070",698,,
Lakes,Unknown,60-64,Female,13,9,20,650,450,,
Lakes,Unknown,60-64,Male,48,35,36,"1,333",972,,
Lakes,Unknown,65-69,Female,17,12,16,"1,062",750,,
Lakes,Unknown,65-69,Male,49,32,37,"1,324",865,,
Lakes,Unknown,70-74,Female,21,20,18,"1,167","1,111",,
Lakes,Unknown,70-74,Male,43,40,31,"1,387","1,290",,
Lakes,Unknown,75-79,Female,8,7,6,"1,333","1,167",,
Lakes,Unknown,75-79,Male,14,13,15,933,867,,
Lakes,Unknown,80-84,Male,11,11,6,"1,833","1,833",,
Lakes,Unknown,85-89,Female,6,0,8,750,500,,
MidCentral,Asian,12-15,Female,216,8,316,684,25,,
MidCentral,Asian,12-15,Male,225,10,332,678,30,,
MidCentral,Asian,16-19,Female,214,42,268,799,157,,
MidCentral,Asian,16-19,Male,263,45,302,871,149,,
MidCentral,Asian,20-24,Female,350,150,361,970,416,,
MidCentral,Asian,20-24,Male,330,91,326,"1,012",279,,
MidCentral,Asian,25-29,Female,502,239,596,842,401,,
MidCentral,Asian,25-29,Male,529,182,517,"1,023",352,,
MidCentral,Asian,30-34,Female,722,379,813,888,466,,
MidCentral,Asian,30-34,Male,637,246,610,"1,044",403,,
MidCentral,Asian,35-39,Female,596,301,675,883,446,,
MidCentral,Asian,35-39,Male,615,294,609,"1,010",483,,
MidCentral,Asian,40-44,Female,483,225,532,908,423,,
MidCentral,Asian,40-44,Male,445,164,453,982,362,,
MidCentral,Asian,45-49,Female,373,175,424,880,413,,
MidCentral,Asian,45-49,Male,330,145,328,"1,006",442,,
MidCentral,Asian,50-54,Female,295,161,325,908,495,,
MidCentral,Asian,50-54,Male,245,126,253,968,498,,
MidCentral,Asian,55-59,Female,290,192,317,915,606,,
MidCentral,Asian,55-59,Male,191,109,232,823,470,,
MidCentral,Asian,60-64,Female,253,193,281,900,687,,
MidCentral,Asian,60-64,Male,184,152,211,872,720,,
MidCentral,Asian,65-69,Female,205,184,232,884,793,,
MidCentral,Asian,65-69,Male,146,123,151,967,815,,
MidCentral,Asian,70-74,Female,141,127,151,934,841,,
MidCentral,Asian,70-74,Male,106,92,134,791,687,,
MidCentral,Asian,75-79,Female,90,82,92,978,891,,
MidCentral,Asian,75-79,Male,69,69,71,972,972,,
MidCentral,Asian,80-84,Female,36,32,57,632,561,,
MidCentral,Asian,80-84,Male,42,39,51,824,765,,
MidCentral,Asian,85-89,Female,23,21,31,742,677,,
MidCentral,Asian,85-89,Male,22,15,18,"1,222",833,,
MidCentral,Asian,90+,Female,17,12,15,"1,133",800,,
MidCentral,Asian,90+,Male,5,0,7,714,571,,
MidCentral,European or Other,12-15,Female,"1,733",66,"2,954",587,22,,
MidCentral,European or Other,12-15,Male,"1,822",64,"3,089",590,21,,
MidCentral,European or Other,16-19,Female,"1,786",372,"2,913",613,128,,
MidCentral,European or Other,16-19,Male,"1,730",306,"2,949",587,104,,
MidCentral,European or Other,20-24,Female,"2,280",771,"3,906",584,197,,
MidCentral,European or Other,20-24,Male,"1,994",602,"3,688",541,163,,
MidCentral,European or Other,25-29,Female,"2,097",865,"3,899",538,222,,
MidCentral,European or Other,25-29,Male,"2,105",839,"3,741",563,224,,
MidCentral,European or Other,30-34,Female,"2,302",859,"3,762",612,228,,
MidCentral,European or Other,30-34,Male,"2,143",717,"3,409",629,210,,
MidCentral,European or Other,35-39,Female,"2,463",938,"3,534",697,265,,
MidCentral,European or Other,35-39,Male,"2,074",770,"3,124",664,246,,
MidCentral,European or Other,40-44,Female,"2,617","1,042","3,541",739,294,,
MidCentral,European or Other,40-44,Male,"2,253",746,"3,150",715,237,,
MidCentral,European or Other,45-49,Female,"3,092","1,382","4,229",731,327,,
MidCentral,European or Other,45-49,Male,"2,672",986,"3,792",705,260,,
MidCentral,European or Other,50-54,Female,"3,623","1,873","4,518",802,415,,
MidCentral,European or Other,50-54,Male,"3,068","1,255","4,105",747,306,,
MidCentral,European or Other,55-59,Female,"4,008","2,702","4,879",821,554,,
MidCentral,European or Other,55-59,Male,"3,662","2,223","4,655",787,478,,
MidCentral,European or Other,60-64,Female,"4,096","3,258","4,708",870,692,,
MidCentral,European or Other,60-64,Male,"3,900","2,960","4,403",886,672,,
MidCentral,European or Other,65-69,Female,"3,874","3,421","4,310",899,794,,
MidCentral,European or Other,65-69,Male,"3,605","3,137","4,098",880,765,,
MidCentral,European or Other,70-74,Female,"3,786","3,457","4,052",934,853,,
MidCentral,European or Other,70-74,Male,"3,465","3,191","3,778",917,845,,
MidCentral,European or Other,75-79,Female,"2,791","2,590","2,992",933,866,,
MidCentral,European or Other,75-79,Male,"2,643","2,475","2,763",957,896,,
MidCentral,European or Other,80-84,Female,"1,985","1,833","2,125",934,863,,
MidCentral,European or Other,80-84,Male,"1,757","1,626","1,780",987,913,,
MidCentral,European or Other,85-89,Female,"1,221","1,136","1,363",896,833,,
MidCentral,European or Other,85-89,Male,837,787,926,904,850,,
MidCentral,European or Other,90+,Female,774,716,837,925,855,,
MidCentral,European or Other,90+,Male,422,384,432,977,889,,
MidCentral,Maori,12-15,Female,518,13,"1,306",397,10,,
MidCentral,Maori,12-15,Male,541,17,"1,421",381,12,,
MidCentral,Maori,16-19,Female,432,91,"1,196",361,76,,
MidCentral,Maori,16-19,Male,425,75,"1,158",367,65,,
MidCentral,Maori,20-24,Female,552,190,"1,439",384,132,,
MidCentral,Maori,20-24,Male,497,180,"1,357",366,133,,
MidCentral,Maori,25-29,Female,463,170,"1,338",346,127,,
MidCentral,Maori,25-29,Male,463,194,"1,196",387,162,,
MidCentral,Maori,30-34,Female,514,174,"1,203",427,145,,
MidCentral,Maori,30-34,Male,370,130,969,382,134,,
MidCentral,Maori,35-39,Female,469,170,957,490,178,,
MidCentral,Maori,35-39,Male,329,128,765,430,167,,
MidCentral,Maori,40-44,Female,468,183,875,535,209,,
MidCentral,Maori,40-44,Male,412,136,725,568,188,,
MidCentral,Maori,45-49,Female,586,253,971,604,261,,
MidCentral,Maori,45-49,Male,442,141,763,579,185,,
MidCentral,Maori,50-54,Female,630,362,900,700,402,,
MidCentral,Maori,50-54,Male,488,261,734,665,356,,
MidCentral,Maori,55-59,Female,704,514,917,768,561,,
MidCentral,Maori,55-59,Male,511,322,708,722,455,,
MidCentral,Maori,60-64,Female,558,447,701,796,638,,
MidCentral,Maori,60-64,Male,463,352,548,845,642,,
MidCentral,Maori,65-69,Female,438,375,477,918,786,,
MidCentral,Maori,65-69,Male,337,282,372,906,758,,
MidCentral,Maori,70-74,Female,307,281,310,990,906,,
MidCentral,Maori,70-74,Male,266,243,262,"1,015",927,,
MidCentral,Maori,75-79,Female,186,177,209,890,847,,
MidCentral,Maori,75-79,Male,146,134,157,930,854,,
MidCentral,Maori,80-84,Female,103,90,114,904,789,,
MidCentral,Maori,80-84,Male,76,71,76,"1,000",934,,
MidCentral,Maori,85-89,Female,43,42,45,956,933,,
MidCentral,Maori,85-89,Male,23,24,27,852,889,,
MidCentral,Maori,90+,Female,13,11,19,684,579,,
MidCentral,Maori,90+,Male,6,5,8,750,625,,
MidCentral,Pacific Peoples,12-15,Female,131,11,219,598,50,,
MidCentral,Pacific Peoples,12-15,Male,123,12,260,473,46,,
MidCentral,Pacific Peoples,16-19,Female,110,25,193,570,130,,
MidCentral,Pacific Peoples,16-19,Male,142,33,210,676,157,,
MidCentral,Pacific Peoples,20-24,Female,147,57,272,540,210,,
MidCentral,Pacific Peoples,20-24,Male,129,57,231,558,247,,
MidCentral,Pacific Peoples,25-29,Female,145,55,235,617,234,,
MidCentral,Pacific Peoples,25-29,Male,146,62,258,566,240,,
MidCentral,Pacific Peoples,30-34,Female,138,47,225,613,209,,
MidCentral,Pacific Peoples,30-34,Male,149,52,218,683,239,,
MidCentral,Pacific Peoples,35-39,Female,135,62,211,640,294,,
MidCentral,Pacific Peoples,35-39,Male,120,46,208,577,221,,
MidCentral,Pacific Peoples,40-44,Female,114,56,160,712,350,,
MidCentral,Pacific Peoples,40-44,Male,135,54,168,804,321,,
MidCentral,Pacific Peoples,45-49,Female,112,54,138,812,391,,
MidCentral,Pacific Peoples,45-49,Male,111,51,161,689,317,,
MidCentral,Pacific Peoples,50-54,Female,110,67,130,846,515,,
MidCentral,Pacific Peoples,50-54,Male,109,58,154,708,377,,
MidCentral,Pacific Peoples,55-59,Female,94,67,129,729,519,,
MidCentral,Pacific Peoples,55-59,Male,108,65,119,908,546,,
MidCentral,Pacific Peoples,60-64,Female,93,76,100,930,760,,
MidCentral,Pacific Peoples,60-64,Male,61,46,80,762,575,,
MidCentral,Pacific Peoples,65-69,Female,79,65,92,859,707,,
MidCentral,Pacific Peoples,65-69,Male,61,49,66,924,742,,
MidCentral,Pacific Peoples,70-74,Female,53,47,61,869,770,,
MidCentral,Pacific Peoples,70-74,Male,51,41,56,911,732,,
MidCentral,Pacific Peoples,75-79,Female,31,27,29,"1,069",931,,
MidCentral,Pacific Peoples,75-79,Male,34,35,31,"1,097","1,129",,
MidCentral,Pacific Peoples,80-84,Female,18,16,24,750,667,,
MidCentral,Pacific Peoples,80-84,Male,16,11,15,"1,067",733,,
MidCentral,Pacific Peoples,85-89,Female,8,6,8,"1,000",750,,
MidCentral,Unknown,12-15,Female,8,0,6,"1,333",167,,
MidCentral,Unknown,12-15,Male,10,0,10,"1,000",0,,
MidCentral,Unknown,16-19,Female,6,0,5,"1,200",200,,
MidCentral,Unknown,16-19,Male,10,0,14,714,71,,
MidCentral,Unknown,20-24,Female,14,5,14,"1,000",357,,
MidCentral,Unknown,20-24,Male,12,5,19,632,263,,
MidCentral,Unknown,25-29,Female,25,11,22,"1,136",500,,
MidCentral,Unknown,25-29,Male,29,14,30,967,467,,
MidCentral,Unknown,30-34,Female,41,17,26,"1,577",654,,
MidCentral,Unknown,30-34,Male,50,27,61,820,443,,
MidCentral,Unknown,35-39,Female,39,18,29,"1,345",621,,
MidCentral,Unknown,35-39,Male,85,36,80,"1,062",450,,
MidCentral,Unknown,40-44,Female,42,23,39,"1,077",590,,
MidCentral,Unknown,40-44,Male,113,49,79,"1,430",620,,
MidCentral,Unknown,45-49,Female,30,13,23,"1,304",565,,
MidCentral,Unknown,45-49,Male,95,33,81,"1,173",407,,
MidCentral,Unknown,50-54,Female,31,11,26,"1,192",423,,
MidCentral,Unknown,50-54,Male,87,51,77,"1,130",662,,
MidCentral,Unknown,55-59,Female,25,14,23,"1,087",609,,
MidCentral,Unknown,55-59,Male,96,52,97,990,536,,
MidCentral,Unknown,60-64,Female,25,21,21,"1,190","1,000",,
MidCentral,Unknown,60-64,Male,107,70,85,"1,259",824,,
MidCentral,Unknown,65-69,Female,17,12,18,944,667,,
MidCentral,Unknown,65-69,Male,60,42,49,"1,224",857,,
MidCentral,Unknown,70-74,Female,25,21,24,"1,042",875,,
MidCentral,Unknown,70-74,Male,59,49,50,"1,180",980,,
MidCentral,Unknown,75-79,Female,13,10,12,"1,083",833,,
MidCentral,Unknown,75-79,Male,28,29,32,875,906,,
MidCentral,Unknown,80-84,Female,7,8,11,636,727,,
MidCentral,Unknown,80-84,Male,13,12,10,"1,300","1,200",,
Nelson Marlborough,Asian,12-15,Female,163,17,209,780,81,,
Nelson Marlborough,Asian,12-15,Male,162,20,226,717,88,,
Nelson Marlborough,Asian,16-19,Female,146,54,133,"1,098",406,,
Nelson Marlborough,Asian,16-19,Male,160,59,172,930,343,,
Nelson Marlborough,Asian,20-24,Female,135,60,177,763,339,,
Nelson Marlborough,Asian,20-24,Male,186,77,184,"1,011",418,,
Nelson Marlborough,Asian,25-29,Female,380,201,332,"1,145",605,,
Nelson Marlborough,Asian,25-29,Male,422,190,311,"1,357",611,,
Nelson Marlborough,Asian,30-34,Female,489,278,491,996,566,,
Nelson Marlborough,Asian,30-34,Male,480,230,417,"1,151",552,,
Nelson Marlborough,Asian,35-39,Female,451,228,446,"1,011",511,,
Nelson Marlborough,Asian,35-39,Male,404,223,310,"1,303",719,,
Nelson Marlborough,Asian,40-44,Female,323,187,344,939,544,,
Nelson Marlborough,Asian,40-44,Male,282,162,234,"1,205",692,,
Nelson Marlborough,Asian,45-49,Female,266,160,282,943,567,,
Nelson Marlborough,Asian,45-49,Male,236,148,198,"1,192",747,,
Nelson Marlborough,Asian,50-54,Female,183,121,188,973,644,,
Nelson Marlborough,Asian,50-54,Male,141,98,119,"1,185",824,,
Nelson Marlborough,Asian,55-59,Female,152,118,159,956,742,,
Nelson Marlborough,Asian,55-59,Male,105,77,97,"1,082",794,,
Nelson Marlborough,Asian,60-64,Female,104,93,119,874,782,,
Nelson Marlborough,Asian,60-64,Male,69,57,69,"1,000",826,,
Nelson Marlborough,Asian,65-69,Female,75,64,87,862,736,,
Nelson Marlborough,Asian,65-69,Male,27,25,40,675,625,,
Nelson Marlborough,Asian,70-74,Female,40,37,40,"1,000",925,,
Nelson Marlborough,Asian,70-74,Male,25,21,32,781,656,,
Nelson Marlborough,Asian,75-79,Female,17,16,18,944,889,,
Nelson Marlborough,Asian,75-79,Male,15,15,13,"1,154","1,154",,
Nelson Marlborough,Asian,80-84,Female,8,7,15,533,467,,
Nelson Marlborough,European or Other,12-15,Female,"1,760",135,"2,936",599,46,,
Nelson Marlborough,European or Other,12-15,Male,"1,840",136,"3,040",605,45,,
Nelson Marlborough,European or Other,16-19,Female,"1,642",317,"2,639",622,120,,
Nelson Marlborough,European or Other,16-19,Male,"1,632",254,"2,764",590,92,,
Nelson Marlborough,European or Other,20-24,Female,"1,385",441,"2,592",534,170,,
Nelson Marlborough,European or Other,20-24,Male,"1,340",313,"2,929",457,107,,
Nelson Marlborough,European or Other,25-29,Female,"1,649",579,"3,039",543,191,,
Nelson Marlborough,European or Other,25-29,Male,"1,548",397,"3,016",513,132,,
Nelson Marlborough,European or Other,25-29,Unknown/Other,14,5,7,"2,000",714,,
Nelson Marlborough,European or Other,30-34,Female,"2,218",742,"3,512",632,211,,
Nelson Marlborough,European or Other,30-34,Male,"1,978",556,"3,207",617,173,,
Nelson Marlborough,European or Other,35-39,Female,"2,501",884,"3,631",689,243,,
Nelson Marlborough,European or Other,35-39,Male,"2,136",615,"3,283",651,187,,
Nelson Marlborough,European or Other,40-44,Female,"2,775","1,195","3,748",740,319,,
Nelson Marlborough,European or Other,40-44,Male,"2,455",898,"3,560",690,252,,
Nelson Marlborough,European or Other,45-49,Female,"3,325","1,706","4,698",708,363,,
Nelson Marlborough,European or Other,45-49,Male,"3,143","1,380","4,446",707,310,,
Nelson Marlborough,European or Other,50-54,Female,"3,984","2,324","5,022",793,463,,
Nelson Marlborough,European or Other,50-54,Male,"3,656","1,861","4,805",761,387,,
Nelson Marlborough,European or Other,55-59,Female,"4,363","3,135","5,473",797,573,,
Nelson Marlborough,European or Other,55-59,Male,"4,132","2,784","5,292",781,526,,
Nelson Marlborough,European or Other,60-64,Female,"4,591","3,718","5,154",891,721,,
Nelson Marlborough,European or Other,60-64,Male,"4,433","3,465","5,209",851,665,,
Nelson Marlborough,European or Other,65-69,Female,"4,437","4,062","4,930",900,824,,
Nelson Marlborough,European or Other,65-69,Male,"4,268","3,839","4,745",899,809,,
Nelson Marlborough,European or Other,70-74,Female,"4,249","4,003","4,592",925,872,,
Nelson Marlborough,European or Other,70-74,Male,"4,245","4,000","4,567",929,876,,
Nelson Marlborough,European or Other,75-79,Female,"2,943","2,781","3,082",955,902,,
Nelson Marlborough,European or Other,75-79,Male,"2,900","2,771","3,085",940,898,,
Nelson Marlborough,European or Other,80-84,Female,"1,975","1,870","2,015",980,928,,
Nelson Marlborough,European or Other,80-84,Male,"1,851","1,749","1,829","1,012",956,,
Nelson Marlborough,European or Other,85-89,Female,"1,125","1,056","1,255",896,841,,
Nelson Marlborough,European or Other,85-89,Male,925,866,971,953,892,,
Nelson Marlborough,European or Other,90+,Female,720,660,789,913,837,,
Nelson Marlborough,European or Other,90+,Male,424,393,452,938,869,,
Nelson Marlborough,Maori,12-15,Female,275,26,603,456,43,,
Nelson Marlborough,Maori,12-15,Male,299,26,642,466,40,,
Nelson Marlborough,Maori,16-19,Female,240,59,526,456,112,,
Nelson Marlborough,Maori,16-19,Male,227,56,559,406,100,,
Nelson Marlborough,Maori,20-24,Female,202,69,543,372,127,,
Nelson Marlborough,Maori,20-24,Male,190,43,572,332,75,,
Nelson Marlborough,Maori,25-29,Female,188,67,574,328,117,,
Nelson Marlborough,Maori,25-29,Male,186,65,555,335,117,,
Nelson Marlborough,Maori,30-34,Female,214,86,511,419,168,,
Nelson Marlborough,Maori,30-34,Male,199,60,430,463,140,,
Nelson Marlborough,Maori,35-39,Female,243,82,443,549,185,,
Nelson Marlborough,Maori,35-39,Male,186,67,367,507,183,,
Nelson Marlborough,Maori,40-44,Female,229,121,389,589,311,,
Nelson Marlborough,Maori,40-44,Male,190,73,373,509,196,,
Nelson Marlborough,Maori,45-49,Female,274,157,455,602,345,,
Nelson Marlborough,Maori,45-49,Male,210,111,418,502,266,,
Nelson Marlborough,Maori,50-54,Female,370,240,492,752,488,,
Nelson Marlborough,Maori,50-54,Male,255,142,363,702,391,,
Nelson Marlborough,Maori,55-59,Female,355,262,449,791,584,,
Nelson Marlborough,Maori,55-59,Male,273,185,336,812,551,,
Nelson Marlborough,Maori,60-64,Female,315,262,357,882,734,,
Nelson Marlborough,Maori,60-64,Male,208,167,250,832,668,,
Nelson Marlborough,Maori,65-69,Female,227,201,243,934,827,,
Nelson Marlborough,Maori,65-69,Male,153,139,172,890,808,,
Nelson Marlborough,Maori,70-74,Female,178,169,194,918,871,,
Nelson Marlborough,Maori,70-74,Male,104,98,104,"1,000",942,,
Nelson Marlborough,Maori,75-79,Female,107,103,116,922,888,,
Nelson Marlborough,Maori,75-79,Male,69,62,80,862,775,,
Nelson Marlborough,Maori,80-84,Female,55,51,52,"1,058",981,,
Nelson Marlborough,Maori,80-84,Male,36,36,34,"1,059","1,059",,
Nelson Marlborough,Maori,85-89,Female,16,17,19,842,895,,
Nelson Marlborough,Maori,85-89,Male,13,12,11,"1,182","1,091",,
Nelson Marlborough,Maori,90+,Female,7,7,10,700,700,,
Nelson Marlborough,Pacific Peoples,12-15,Female,62,9,98,633,92,,
Nelson Marlborough,Pacific Peoples,12-15,Male,72,5,122,590,41,,
Nelson Marlborough,Pacific Peoples,16-19,Female,52,18,75,693,240,,
Nelson Marlborough,Pacific Peoples,16-19,Male,82,23,105,781,219,,
Nelson Marlborough,Pacific Peoples,20-24,Female,64,25,100,640,250,,
Nelson Marlborough,Pacific Peoples,20-24,Male,285,205,144,"1,979","1,424",,
Nelson Marlborough,Pacific Peoples,25-29,Female,66,25,93,710,269,,
Nelson Marlborough,Pacific Peoples,25-29,Male,407,303,147,"2,769","2,061",,
Nelson Marlborough,Pacific Peoples,30-34,Female,76,38,111,685,342,,
Nelson Marlborough,Pacific Peoples,30-34,Male,422,323,131,"3,221","2,466",,
Nelson Marlborough,Pacific Peoples,35-39,Female,92,48,103,893,466,,
Nelson Marlborough,Pacific Peoples,35-39,Male,362,283,134,"2,701","2,112",,
Nelson Marlborough,Pacific Peoples,40-44,Female,72,41,74,973,554,,
Nelson Marlborough,Pacific Peoples,40-44,Male,265,194,112,"2,366","1,732",,
Nelson Marlborough,Pacific Peoples,45-49,Female,51,33,53,962,623,,
Nelson Marlborough,Pacific Peoples,45-49,Male,154,114,99,"1,556","1,152",,
Nelson Marlborough,Pacific Peoples,50-54,Female,50,34,64,781,531,,
Nelson Marlborough,Pacific Peoples,50-54,Male,90,64,68,"1,324",941,,
Nelson Marlborough,Pacific Peoples,55-59,Female,48,27,53,906,509,,
Nelson Marlborough,Pacific Peoples,55-59,Male,57,43,43,"1,326","1,000",,
Nelson Marlborough,Pacific Peoples,60-64,Female,29,22,31,935,710,,
Nelson Marlborough,Pacific Peoples,60-64,Male,31,22,37,838,595,,
Nelson Marlborough,Pacific Peoples,65-69,Female,22,21,21,"1,048","1,000",,
Nelson Marlborough,Pacific Peoples,65-69,Male,24,23,30,800,767,,
Nelson Marlborough,Pacific Peoples,70-74,Female,18,18,21,857,857,,
Nelson Marlborough,Pacific Peoples,70-74,Male,11,11,13,846,846,,
Nelson Marlborough,Pacific Peoples,75-79,Female,9,9,9,"1,000","1,000",,
Nelson Marlborough,Pacific Peoples,80-84,Female,9,9,9,"1,000","1,000",,
Nelson Marlborough,Unknown,25-29,Female,23,13,9,"2,556","1,444",,
Nelson Marlborough,Unknown,25-29,Male,51,34,5,"10,200","6,800",,
Nelson Marlborough,Unknown,30-34,Female,20,9,11,"1,818",818,,
Nelson Marlborough,Unknown,30-34,Male,69,46,6,"11,500","7,667",,
Nelson Marlborough,Unknown,35-39,Female,21,8,11,"1,909",727,,
Nelson Marlborough,Unknown,35-39,Male,51,21,16,"3,188","1,312",,
Nelson Marlborough,Unknown,40-44,Female,38,22,84,452,262,,
Nelson Marlborough,Unknown,40-44,Male,49,32,26,"1,885","1,231",,
Nelson Marlborough,Unknown,45-49,Female,148,71,100,"1,480",710,,
Nelson Marlborough,Unknown,45-49,Male,56,31,23,"2,435","1,348",,
Nelson Marlborough,Unknown,50-54,Female,50,28,43,"1,163",651,,
Nelson Marlborough,Unknown,50-54,Male,36,21,21,"1,714","1,000",,
Nelson Marlborough,Unknown,55-59,Female,51,38,39,"1,308",974,,
Nelson Marlborough,Unknown,55-59,Male,37,23,28,"1,321",821,,
Nelson Marlborough,Unknown,60-64,Female,27,21,24,"1,125",875,,
Nelson Marlborough,Unknown,60-64,Male,30,22,18,"1,667","1,222",,
Nelson Marlborough,Unknown,65-69,Female,40,35,23,"1,739","1,522",,
Nelson Marlborough,Unknown,65-69,Male,20,14,17,"1,176",824,,
Nelson Marlborough,Unknown,70-74,Female,9,8,8,"1,125","1,000",,
Nelson Marlborough,Unknown,70-74,Male,12,10,7,"1,714","1,429",,
Northland,Asian,12-15,Female,102,10,133,767,75,,
Northland,Asian,12-15,Male,95,9,140,679,64,,
Northland,Asian,16-19,Female,84,26,94,894,277,,
Northland,Asian,16-19,Male,83,14,115,722,122,,
Northland,Asian,20-24,Female,108,48,132,818,364,,
Northland,Asian,20-24,Male,146,50,169,864,296,,
Northland,Asian,25-29,Female,285,156,370,770,422,,
Northland,Asian,25-29,Male,386,148,348,"1,109",425,,
Northland,Asian,30-34,Female,436,245,519,840,472,,
Northland,Asian,30-34,Male,429,184,437,982,421,,
Northland,Asian,35-39,Female,344,169,378,910,447,,
Northland,Asian,35-39,Male,369,170,337,"1,095",504,,
Northland,Asian,40-44,Female,245,131,286,857,458,,
